Ignore,Scene,Start,End,Caption
No,0,00:11:23.429,00:11:25.939,
No,0,00:11:26.349,00:11:27.357,
No,0,00:11:27.767,00:11:36.366,
No,0,00:11:36.776,00:11:42.372,
No,0,00:11:42.782,00:11:43.540,
No,0,00:11:43.950,00:11:44.541,
No,0,00:11:44.951,00:11:46.543,
No,0,00:11:46.953,00:11:47.460,
No,0,00:11:47.870,00:11:48.210,
No,0,00:11:48.620,00:11:55.635,
No,0,00:11:56.045,00:12:01.766,
No,0,00:12:02.176,00:12:03.017,
No,0,00:12:03.427,00:12:09.315,
No,0,00:12:09.725,00:12:16.448,
No,0,00:12:16.858,00:12:18.241,
No,0,00:12:18.651,00:12:20.702,
No,0,00:12:21.112,00:12:22.996,
No,0,00:12:23.406,00:12:25.081,
No,0,00:12:25.491,00:12:26.791,
No,0,00:12:27.201,00:12:30.128,
No,0,00:12:30.538,00:12:34.382,
No,0,00:12:34.792,00:12:37.177,
No,0,00:12:37.587,00:12:41.389,
No,0,00:12:41.799,00:12:46.686,
No,0,00:12:47.096,00:13:10.794,
No,0,00:13:11.204,00:13:12.587,
No,0,00:13:12.997,00:13:21.888,
No,0,00:13:22.298,00:13:22.806,
No,0,00:13:23.216,00:13:26.851,
No,0,00:13:27.261,00:13:28.269,
No,0,00:13:28.679,00:13:34.484,
No,0,00:13:34.894,00:13:35.485,
No,0,00:13:35.895,00:13:39.113,
No,0,00:13:39.523,00:13:40.281,
No,0,00:13:40.691,00:13:46.579,
No,0,00:13:46.989,00:13:47.580,
No,0,00:13:47.990,00:13:53.795,
No,0,00:13:54.205,00:13:55.380,
No,0,00:13:55.790,00:14:02.011,
No,0,00:14:02.421,00:14:05.557,
No,0,00:14:05.967,00:14:24.492,
No,0,00:14:24.902,00:14:29.330,
No,0,00:14:29.740,00:14:34.210,
No,0,00:14:34.620,00:14:36.337,
No,0,00:14:36.747,00:14:38.923,
No,0,00:14:39.333,00:14:42.468,
No,0,00:14:42.878,00:14:44.345,
No,0,00:14:44.755,00:14:53.438,
No,0,00:14:53.848,00:14:56.399,
No,0,00:14:56.809,00:14:58.192,
No,0,00:14:58.602,00:15:00.945,
No,0,00:15:01.355,00:15:03.448,
No,0,00:15:03.858,00:15:06.034,
No,0,00:15:06.444,00:15:10.455,
No,0,00:15:10.865,00:15:11.831,
No,0,00:15:12.241,00:15:12.665,
No,0,00:15:13.075,00:15:16.210,
No,0,00:15:16.620,00:15:18.087,
No,0,00:15:18.497,00:15:19.130,
No,0,00:15:19.540,00:15:24.218,
No,0,00:15:24.628,00:15:28.097,
No,0,00:15:28.507,00:15:31.434,
No,0,00:15:31.844,00:15:33.311,
No,0,00:15:33.721,00:15:41.653,
No,0,00:15:42.063,00:15:43.071,
No,0,00:15:43.481,00:15:45.740,
No,0,00:15:46.150,00:15:49.827,
No,0,00:15:50.237,00:15:50.453,
No,0,00:15:50.863,00:15:53.122,
No,0,00:15:53.532,00:15:54.332,
No,0,00:15:54.742,00:15:57.335,
No,0,00:15:57.745,00:15:59.170,
No,0,00:15:59.580,00:16:00.755,
No,0,00:16:01.165,00:16:02.632,
No,0,00:16:03.042,00:16:24.445,
No,0,00:16:24.855,00:16:29.242,
No,0,00:16:29.652,00:16:41.629,
No,0,00:16:42.039,00:16:43.840,
No,0,00:16:44.250,00:16:45.550,
No,0,00:16:45.960,00:16:51.806,
No,0,00:16:52.216,00:16:54.934,
No,0,00:16:55.344,00:17:09.032,
No,0,00:17:09.442,00:17:10.700,
No,0,00:17:11.110,00:17:14.037,
No,0,00:17:14.447,00:17:15.329,
No,0,00:17:15.739,00:17:17.749,
No,0,00:17:18.159,00:17:18.916,
No,0,00:17:19.326,00:17:20.168,
No,0,00:17:20.578,00:17:22.210,
No,0,00:17:22.620,00:17:23.004,
No,0,00:17:23.414,00:17:24.337,
No,0,00:17:24.747,00:17:28.760,
No,0,00:17:29.170,00:17:29.761,
No,0,00:17:30.171,00:17:33.056,
No,0,00:17:33.466,00:17:39.145,
No,0,00:17:39.555,00:17:40.480,
No,0,00:17:40.890,00:17:43.357,
No,0,00:17:43.767,00:17:45.818,
No,0,00:17:46.228,00:17:46.861,
No,0,00:17:47.271,00:17:49.614,
No,0,00:17:50.024,00:17:50.865,
No,0,00:17:51.275,00:17:52.450,
No,0,00:17:52.860,00:17:53.868,
No,0,00:17:54.278,00:17:59.457,
