name,year,director,tmdb_id,imdb_id,filename,overview,tagline
The Magnificent Seven,2016,Antoine Fuqua,333484,tt2404435,The-Magnificent-Seven(2016){tmdb-333484}.mkv,"Looking to mine for gold, greedy industrialist Bartholomew Bogue seizes control of the Old West town of Rose Creek. With their lives in jeopardy, Emma Cullen and other desperate residents turn to bounty hunter Sam Chisolm for help. Chisolm recruits an eclectic group of gunslingers to take on Bogue and his ruthless henchmen. With a deadly showdown on the horizon, the seven mercenaries soon find themselves fighting for more than just money once the bullets start to fly.",Justice has a number.
The Man from Laramie,1955,Anthony Mann,18264,tt0048342,The-Man-from-Laramie(1955){tmdb-18264}.mp4,"Will Lockhart arrives in Coronado, an isolated town in New Mexico, in search of someone who sells rifles to the Apache tribe, finding himself unwillingly drawn into the convoluted life of a local ranching family whose members seem to have a lot to hide.",The man you'll never forget!
The Man Who Shot Liberty Valance,1962,John Ford,11697,tt0056217,The-Man-Who-Shot-Liberty-Valance(1962){tmdb-11697}.mkv,"Questions arise when Senator Stoddard attends the funeral of a local man named Tom Doniphon in a small Western town. Flashing back, we learn Doniphon saved Stoddard, then a lawyer, when he was roughed up by a crew of outlaws terrorizing the town, led by Liberty Valance. As the territory's safety hung in the balance, Doniphon and Stoddard, two of the only people standing up to him, proved to be very important, but different, foes to Valance.",Together for the first time
The Mark of Zorro,1940,Rouben Mamoulian,32093,tt0032762,The-Mark-of-Zorro(1940){tmdb-32093}.mp4,"In 1820 Spain, the son of a California nobleman comes home to find his native land under a villainous dictatorship. On one hand, he plays the useless fop, while on the other, he is the masked avenger Zorro.",Ride With Zorro . . . The Dashing Don Of California's Most Adventurous Era !
The Misfits,1961,John Huston,11536,tt0055184,The-Misfits(1961){tmdb-11536}.mp4,"While filing for a divorce, beautiful ex-stripper Roslyn Taber ends up meeting aging cowboy-turned-gambler Gay Langland and former World War II aviator Guido Racanelli. The two men instantly become infatuated with Roslyn and, on a whim, the three decide to move into Guido's half-finished desert home together. When grizzled ex-rodeo rider Perce Howland arrives, the unlikely foursome strike up a business capturing wild horses.",It shouts and sings with life ... explodes with love!
The Missouri Breaks,1976,Arthur Penn,42252,tt0074906,The-Missouri-Breaks(1976){tmdb-42252}.mp4,"When vigilante land baron David Braxton hangs one of the best friends of cattle rustler Tom Logan, Logan's gang decides to get even by purchasing a small farm next to Braxton's ranch. From there the rustlers begin stealing horses, using the farm as a front for their operation. Determined to stop the thefts at any cost, Braxton retains the services of eccentric sharpshooter Robert E. Lee Clayton, who begins ruthlessly taking down Logan's gang.",One steals. One kills. One dies.
The Naked Spur,1953,Anthony Mann,20442,tt0044953,The-Naked-Spur(1953){tmdb-20442}.mp4,A bounty hunter trying to bring a murderer to justice is forced to accept the help of two less-than-trustworthy strangers.,Packed with Technicolor Thrills!
The New Frontier,1935,Carl Pierson,229401,tt0026774,The-New-Frontier(1935){tmdb-229401}.mp4,"In 1889 pioneers race ahead of the law to claim free land in Oklahoma, forming wide-open towns. In one such, citizens elect Milt Dawson to challenge the self-appointed rule of gambler Ace Holmes, only to have him shot in the back. But leading the next batch of settlers is Milt's quick-on-the-draw son John, who gets help from friendly outlaws.",
The New Land,1972,Jan Troell,42488,tt0069035,The-New-Land(1972){tmdb-42488}.mp4,"A Swedish immigrant family struggles to adapt to their new life on the American frontier during the second half of the 19th century amidst civil war, native uprising and the lure of gold in California.","From ""The Emigrants"" dream, come the settlers struggle to survive..."
The Outlaw Josey Wales,1976,Clint Eastwood,10747,tt0075029,The-Outlaw-Josey-Wales(1976){tmdb-10747}.mp4,"After avenging his family's brutal murder, Wales is pursued by a pack of soldiers. He prefers to travel alone, but ragtag outcasts are drawn to him - and Wales can't bring himself to leave them unprotected.",...an army of one.
The Outlaw,1943,Howard Hughes,22613,tt0036241,The-Outlaw(1943){tmdb-22613}.mp4,"Newly appointed sheriff Pat Garrett is pleased when his old friend Doc Holliday arrives in Lincoln, New Mexico on the stage. Doc is trailing his stolen horse, and it is discovered in the possession of Billy the Kid. In a surprising turnaround, Billy and Doc become friends. This causes the friendship between Doc and Pat to cool. The odd relationship between Doc and Billy grows stranger when Doc hides Billy at his girl Rio's place after Billy is shot.",Tall.... Terrific.... and Trouble!
The Ox Bow Incident,1942,William A. Wellman,980,tt0036244,The-Ox-Bow-Incident(1942){tmdb-980}.mkv,A posse discovers a trio of men they suspect of murder and cow theft and are split between handing them over to the law or lynching them on the spot.,Lynch law rules the mob!
The Power Of The Dog,2021,Jane Campion,600583,tt10293406,The-Power-Of-The-Dog(2021){tmdb-600583}.mkv,"A domineering but charismatic rancher wages a war of intimidation on his brother's new wife and her teen son, until long-hidden secrets come to light.",
The Professionals,1966,Richard Brooks,22383,tt0060862,The-Professionals(1966){tmdb-22383}.mp4,An arrogant Texas millionaire hires four adventurers to rescue his kidnapped wife from a notorious Mexican bandit.,"Rough, tough and ready."
The Proposition,2005,John Hillcoat,16608,tt0421238,The-Proposition(2005){tmdb-16608}.mp4,"In 1880s Australia, a lawman offers renegade Charlie Burns a difficult choice. In order to save his younger brother from the gallows, Charlie must hunt down and kill his older brother, who is wanted for rape and murder. Venturing into one of the Outback's most inhospitable regions, Charlie faces a terrible moral dilemma that can end only in violence.",This land will be civilized.
The Quick And The Dead,1995,Sam Raimi,12106,tt0114214,The-Quick-And-The-Dead(1995){tmdb-12106}.mkv,"A mysterious woman comes to compete in a quick-draw elimination tournament, in a town taken over by a notorious gunman.",Think you're quick enough?
The Rawhide Years,1956,Rudolph Maté,140849,tt0049663,The-Rawhide-Years(1956){tmdb-140849}.mp4,"Ben Matthews gives up the flashy life of a riverboat gambler, hoping to settle down in Galena with his girlfriend, luscious entertainer Zoe. But Galena's leading citizen is murdered on the boat; Ben, on arrival, finds a lynch mob after his neck, and flees. Three years of wandering later, Zoe's letters stop coming and Ben returns to find her and attempt the hopeless task of clearing himself.",THE GAMBLER...THE GUNSLINGER...THE RIVER LADY KNOWN AS 'ZOE'...They Risked Their Luck On A Turn Of A Card...Their Lives On The Draw Of A Gun!
The Red Pony,1949,Lewis Milestone,23395,tt0041792,The-Red-Pony(1949){tmdb-23395}.mp4,"Peter Miles stars as Tom Tiflin, the little boy at the heart of this John Steinbeck story set in Salinas Valley. With his incompatible parents -- the city-loving Fred and country-happy Alice -- constantly bickering, Tom looks to cowboy Billy Buck for companionship and paternal love.",John Steinbeck's great American story !
The Return Of Frank James,1940,Fritz Lang,43821,tt0032983,The-Return-Of-Frank-James(1940){tmdb-43821}.mp4,"Farmer Frank and his ward hunt brother Jesse's killers, the back-shooting Fords.",Encore triumph from 20th Century-Fox.
The Revenant,2015,Alejandro González Iñárritu,281957,tt1663202,The-Revenant(2015){tmdb-281957}.mkv,"In the 1820s, a frontiersman, Hugh Glass, sets out on a path of vengeance against those who left him for dead after a bear mauling.",Blood lost. Life found.
The Searchers,1956,John Ford,3114,tt0049730,The-Searchers(1956){tmdb-3114}.mkv,"As a Civil War veteran spends years searching for a young niece captured by Indians, his motivation becomes increasingly questionable.",He had to find her... he had to find her...
The Shooting,1966,Monte Hellman,42701,tt0062262,The-Shooting(1966){tmdb-42701}.mp4,"Two miners agree to guide a mysterious woman, who has appeared in their camp from nowhere, to a nearby town; but soon, because of her erratic behavior, they begin to suspect that her true purpose is quite different.",Suspenseful desert pursuit in the “High Noon” tradition
The Shootist,1976,Don Siegel,12584,tt0075213,The-Shootist(1976){tmdb-12584}.mp4,"Afflicted with a terminal illness John Bernard Books, the last of the legendary gunfighters, quietly returns to Carson City for medical attention from his old friend Dr. Hostetler. Aware that his days are numbered, the troubled man seeks solace and peace in a boarding house run by a widow and her son. However, it is not Books' fate to die in peace, as he becomes embroiled in one last valiant battle.",He's got to face a gunfight once more to live up to his legend once more. To win just one more time.
The Sons Of Katie Elder,1965,Henry Hathaway,16211,tt0059740,The-Sons-Of-Katie-Elder(1965){tmdb-16211}.mp4,"The four sons of Katie Elder reunite in their hometown of Clearwater, Texas for her funeral and discover that the family ranch is now in the hands of Morgan Hastings, a corrupt businessman who wants to exploit the area around the town.","From the four winds they came, the four brothers, their eyes smoking and their fingers itching..."
The Specialists,1969,Sergio Corbucci,7507,tt0065026,The-Specialists(1969){tmdb-7507}.mp4,Hud Dixon returns to his hometown when his brother is killed by a lynch mob.,
The Train Robbers,1973,Burt Kennedy,40682,tt0070825,The-Train-Robbers(1973){tmdb-40682}.mp4,"A gunhand named Lane is hired by a widow, Mrs. Lowe, to find gold stolen by her husband so that she may return it and start fresh.",The gold or the grave. The young widow could lead them to either.
The Treasure Of The Sierra Madre,1948,John Huston,3090,tt0040897,The-Treasure-Of-The-Sierra-Madre(1948){tmdb-3090}.mp4,"Two jobless Americans convince a prospector to travel to the mountains of Mexico with them in search of gold. But the hostile wilderness, local bandits, and greed all get in the way of their journey.","The nearer they get to their treasure, the farther they get from the law."
The True Story Of Jesse James,1957,Nicholas Ray,83354,tt0051114,The-True-Story-Of-Jesse-James(1957){tmdb-83354}.mp4,"Having fought with the Confederacy during the Civil War, Jesse James and his brother Frank dream of a farm life in Missouri. Harassed by Union sympathizers, they assemble a gang of outlaws, robbing trains and becoming folk heroes in the process. Jesse marries his sweetheart, Zee, and maintains an aura of domesticity, but after a group of lawmen launch an attack on his mother's house, Jesse plans one more great raid -- on a Minnesota bank.",The real story… really told for the first time!
Track of the Cat,1954,William A. Wellman,86608,tt0047603,Track-of-the-Cat(1954){tmdb-86608}.mp4,"A family saga: In a stunning mountain valley ranch setting near Aspen, complex and dangerous family dynamics play out against the backdrop of the first big snowstorm of winter and an enormous panther with seemingly mythical qualities which is killing cattle.","A love story of real, raw, runaway emotions!"
The Undefeated,1969,Andrew V. McLaglen,18972,tt0065150,The-Undefeated(1969){tmdb-18972}.mp4,"After the Civil War, ex-Union Colonel John Henry Thomas and ex-Confederate Colonel James Langdon are leading two disparate groups of people through strife-torn Mexico. John Henry and company are bringing horses to the unpopular Mexican government for $35 a head while Langdon is leading a contingent of displaced southerners, who are looking for a new life in Mexico after losing their property to carpetbaggers. The two men are eventually forced to mend their differences in order to fight off both bandits and revolutionaries, as they try to lead their friends and kin to safety.",Across 2000 Miles Of Savage Wasteland... They Lived A Thundering Adventure That Rocked Two Nations!
The War Wagon,1967,Burt Kennedy,27277,tt0062472,The-War-Wagon(1967){tmdb-27277}.mp4,"An ex-con seeks revenge on the man who put him in prison by planning a robbery of the latter's stagecoach, which is transporting gold. He enlists the help of a partner, who could be working for his nemesis.",The War Wagon Rolls And The Screen Explodes!
The Way West,1967,Andrew V. McLaglen,42703,tt0062479,The-Way-West(1967){tmdb-42703}.mp4,"In the mid-19th century, Senator William J. Tadlock leads a group of settlers overland in a quest to start a new settlement in the Western US. Tadlock is a highly principled and demanding taskmaster who is as hard on himself as he is on those who have joined his wagon train. He clashes with one of the new settlers, Lije Evans, who doesn't quite appreciate Tadlock's ways. Along the way, the families must face death and heartbreak and a sampling of frontier justice when one of them accidentally kills a young Indian boy.",Cracking Like a Whip From Here to Excitement!
The Wild Bunch,1969,Sam Peckinpah,576,tt0065214,The-Wild-Bunch(1969){tmdb-576}.mp4,"An aging group of outlaws look for one last big score as the ""traditional"" American West is disappearing around them.",Unchanged men in a changing land
The Wonderful Country,1959,Robert Parrish,6610,tt0053453,The-Wonderful-Country(1959){tmdb-6610}.mp4,"Having fled to Mexico from the U.S. many years ago for killing his father's murderer, Martin Brady travels to Texas to broker an arms deal for his Mexican boss, strongman Governor Cipriano Castro. Brady breaks a leg and while recuperating in Texas the gun shipment is stolen. Complicating matters further the wife of local army major Colton has designs on him, and the local Texas Ranger captain makes him a generous offer to come back to the states and join his outfit. After killing a man in self-defense, Brady slips back over the border and confronts Castro who is not only unhappy that Brady has lost his gun shipment but is about to join forces with Colton to battle the local raiding Apache Indians.",A Face...A Man...A Motion Picture as Proud and Violent as Tom Lea's Bold and Powerful Novel!
The World To Come,2020,Mona Fastvold,506281,tt9738716,The-World-To-Come(2020){tmdb-506281}.mp4,"In 1856, two women forge a close connection despite their isolation on the American frontier.",
Tombstone,1993,George P. Cosmatos,11969,tt0108358,Tombstone(1993){tmdb-11969}.mkv,"Legendary marshal Wyatt Earp, now a weary gunfighter, joins his brothers Morgan and Virgil to pursue their collective fortune in the thriving mining town of Tombstone. But Earp is forced to don a badge again and get help from his notorious pal Doc Holliday when a gang of renegade brigands and rustlers begins terrorizing the town.",Every town has a story. Tombstone has a legend.
Track of the Cat,1954,William A. Wellman,86608,tt0047603,Track-of-the-Cat(1954){tmdb-86608}.mp4,"A family saga: In a stunning mountain valley ranch setting near Aspen, complex and dangerous family dynamics play out against the backdrop of the first big snowstorm of winter and an enormous panther with seemingly mythical qualities which is killing cattle.","A love story of real, raw, runaway emotions!"
True Grit,1969,Henry Hathaway,17529,tt0065126,True-Grit(1969){tmdb-17529}.mp4,"The murder of her father sends a teenage tomboy on a mission of 'justice', which involves avenging her father's death. She recruits a tough old marshal, 'Rooster' Cogburn because he has 'true grit', and a reputation of getting the job done.",The strangest trio ever to track a killer.
True Grit,2010,Joel Coen,44264,tt1403865,True-Grit(2010){tmdb-44264}.mp4,"Following the murder of her father by a hired hand, a 14-year-old farm girl sets out to capture the killer. To aid her, she hires the toughest U.S. Marshal she can find—a man with 'true grit'—Reuben J. 'Rooster' Cogburn.",Punishment comes one way or another.
Two Mules For Sister Sara,1970,Don Siegel,11916,tt0065134,Two-Mules-For-Sister-Sara(1970){tmdb-11916}.mp4,"When a wandering mercenary named Hogan rescues a nun called Sister Sara from the unwanted attentions of a band of rogues on the Mexican plains, he has no idea what he has let himself in for. Their chance encounter results in the blowing up of a train and a French garrison, as well as igniting a spark between them that survives a shocking discovery.",CLINT EASTWOOD...the deadliest man alive...takes on a whole army with two guns and a fistful of dynamite!
Unforgiven,1992,Clint Eastwood,33,tt0105695,Unforgiven(1992){tmdb-33}.mkv,"William Munny is a retired, once-ruthless killer turned gentle widower and hog farmer. To help support his two motherless children, he accepts one last bounty-hunter mission to find the men who brutalized a prostitute. Joined by his former partner and a cocky greenhorn, he takes on a corrupt sheriff.",Some legends will never be forgotten. Some wrongs can never be forgiven.
Vampires,1998,John Carpenter,9945,tt0120877,Vampires(1998){tmdb-9945}.mkv,The church enlists a team of vampire-hunters to hunt down and destroy a group of vampires searching for an ancient relic that will allow them to exist in sunlight.,Prepare for the dawn.
Villa Rides,1968,Buzz Kulik,48564,tt0063775,Villa-Rides(1968){tmdb-48564}.mp4,"Pulled into the Mexican Revolution by his own greed, Texas gunrunner and pilot Lee Arnold joins bandit-turned-patriot Pancho Villa and his band of dedicated men in a march across Mexico battling the Colorados and stealing women's hearts as they go. But each has a nemesis among his friends: Arnold is tormented by Fierro, Villa's right-hand-man; and Villa must face possible betrayal by his own president's naiveté",Villa rages! Villa lusts! Villa kills! VILLA RIDES!
Walker,1987,Alex Cox,28448,tt0096409,Walker(1987){tmdb-28448}.mp4,William Walker and his mercenary corps enter Nicaragua in the middle of the 19th century in order to install a new government by a coup d'etat.,Before Rambo... Before Oliver North...
War Arrow,1954,George Sherman,60551,tt0046532,War-Arrow(1954){tmdb-60551}.mp4,"A thrilling Cavalry-versus-Indians adventure starring Jeff Chandler as an Army official recruiting Seminole allies, against his superior's wishes, to stop a planned Kiowa attack.",Indian tomahawk and cavalry saber fighting side-by-side for the glory of the West!
Warlock,1959,Edward Dmytryk,37412,tt0053434,Warlock(1959){tmdb-37412}.mkv,"A band of murderous cowboys has imposed a reign of terror on the town of Warlock. With the sheriff humiliatingly run out of town, the residents hire the services of Clay Blaisedell as de facto town marshal. He arrives along with his friend, Tom Morgan, and sets about restoring law and order on his own terms whilst also overseeing the establishment of a gambling house and saloon.",Wherever you've been ... Whatever you've seen ... You've never run into anything like Warlock.
Western Union,1941,Fritz Lang,43804,tt0034384,Western-Union(1941){tmdb-43804}.mp4,"When Edward Creighton leads the construction of the Western Union to unite East with West, he hires a Western reformed outlaw and a tenderfoot Eastern surveyor.  Preserved by the Academy Film Archive in partnership with Twentieth Century Fox Film Corporation in 2000.",A 20th Century-Fox Encore Hit !
Westworld,1973,Michael Crichton,2362,tt0070909,Westworld(1973){tmdb-2362}.mkv,"Delos is a futuristic amusement park that features themed worlds populated by human-like androids. After two patrons have a run-in with a menacing gunslinger in West World, the androids at Delos all begin to malfunction, causing havoc throughout the park.","Boy, have we got a vacation for you..."
Winchester 73,1950,Anthony Mann,14551,tt0043137,Winchester-73(1950){tmdb-14551}.mp4,"Lin McAdam rides into town on the trail of Dutch Henry Brown, only to find himself in a shooting competition against him. McAdam wins the prize, a one-in-a-thousand Winchester rifle, but Dutch steals it and leaves town. McAdam follows, intent on settling his old quarrel, while the rifle keeps changing hands and touching a number of lives.",The Gun That Won The West!
Wind From The East,1970,Jean-Luc Godard,113629,tt0065173,Wind-From-The-East(1970){tmdb-113629}.mp4,A politically oriented film in which images suggestive of a mock western are accompanied by an attack on all cinematic conventions to date and a debate on the nature and possibility of revolutionary cinema.,“WARNING TO MILITANTS: WATCH OUT. REFLECT. BE EARLY. BE LATE. THINK! MANUFACTURE. SIMPLIFY. BUILD. WAIT. .
Young Billy Young,1969,Burt Kennedy,39295,tt0065230,Young-Billy-Young(1969){tmdb-39295}.mp4,"A peace-loving man named Ben Kane takes a job as deputy marshal of Lords, in the old West. Kane is no lawman, but he accepts the badge because he has an old score to settle with the town's chief trouble-maker. Once on the job, Kane must also deal with a young sharpshooter named Billy Young and a sharp and sassy saloon dancer, Lily.",Billy better learn fast... or die young!
Young Guns,1988,Christopher Cain,11967,tt0096487,Young-Guns(1988){tmdb-11967}.mp4,"A group of young gunmen, led by Billy the Kid, become deputies to avenge the murder of the rancher who became their benefactor. But when Billy takes their authority too far, they become the hunted.",Six reasons why the west was wild.
Zandys Bride,1974,Jan Troell,96337,tt0072435,Zandys-Bride(1974){tmdb-96337}.mp4,"Zandy Allan purchases a mail-order bride, Hannah Lund. He treats her as a possession, without respect or humanity, until their shared ordeal as they struggle to survive develops in him a growing love.",More Like a War Than a Marriage
