name,year,director,tmdb_id,imdb_id,filename,overview,tagline
Back To The Future Part III,1990,Robert Zemeckis,196,tt0099088,Back-To-The-Future-Part-III(1990){tmdb-196}.mkv,"The final installment finds Marty digging the trusty DeLorean out of a mineshaft and looking for Doc in the Wild West of 1885. But when their time machine breaks down, the travelers are stranded in a land of spurs. More problems arise when Doc falls for pretty schoolteacher Clara Clayton, and Marty tangles with Buford Tannen.",They've saved the best trip for last... But this time they may have gone too far.
Bacurau,2019,Juliano Dornelles,446159,tt2762506,Bacurau(2019){tmdb-446159}.mp4,"Bacurau, a small town in the Brazilian sertão, mourns the loss of its matriarch, Carmelita, who lived to be 94. Days later, its inhabitants notice that their community has vanished from most maps.","If you come, come in peace"
Bad Day At Black Rock,1955,John Sturges,14554,tt0047849,Bad-Day-At-Black-Rock(1955){tmdb-14554}.mp4,"One-armed war veteran John J. Macreedy steps off a train at the sleepy little town of Black Rock.  Once there, he begins to unravel a web of lies, secrecy, and murder.",Just the way it happened!
Bandolero!,1968,Andrew V. McLaglen,41857,tt0062708,Bandolero!(1968){tmdb-41857}.mp4,"Posing as a hangman, Mace Bishop arrives in town with the intention of freeing a gang of outlaws, including his brother, from the gallows. Mace urges his younger brother to give up crime. The sheriff chases the brothers to Mexico. They join forces, however, against a group of Mexican bandits.","There are ""Westerns"" and ""Westerns"". Every now and then comes a NEW kind of Western. This is ""BANDOLERO!""."
Big Jake,1971,George Sherman,21717,tt0066831,Big-Jake(1971){tmdb-21717}.mp4,An aging Texas cattle man who has outlived his time swings into action when outlaws kidnap his grandson.,They wanted gold. They gave them lead instead!
Blazing Saddles,1974,Mel Brooks,11072,tt0071230,Blazing-Saddles(1974){tmdb-11072}.mp4,"A town—where everyone seems to be named Johnson—stands in the way of the railroad. In order to grab their land, robber baron Hedley Lamarr sends his henchmen to make life in the town unbearable. After the sheriff is killed, the town demands a new sheriff from the Governor, so Hedley convinces him to send the town the first black sheriff in the west.",...or never give a saga an even break!
Blood On The Moon,1948,Robert Wise,29966,tt0040175,Blood-On-The-Moon(1948){tmdb-29966}.mp4,"Down-and-out cowhand Jim Garry is asked by his old friend Tate Riling to help mediate a cattle dispute. When Garry arrives, however, it soon becomes clear that Riling has not been entirely forthright. Garry uncovers Riling's plot to dupe local rancher John Lufton out of a fortune. When Lufton's firecracker of a daughter, Amy, gets involved, Garry must choose between his old loyalties and what he knows to be right.",A woman's bullet kills as quick as a man's!
Boot Hill,1969,Giuseppe Colizzi,12529,tt0064175,Boot-Hill(1969){tmdb-12529}.mp4,Victims of oppressive town boss Honey are offered help by an unusual alliance of gunmen and circus performers,Where Nobody Died of Natural Causes!
Boss Nigger,1975,Jack Arnold,26905,tt0072725,Boss-Nigger(1975){tmdb-26905}.mp4,"Two black bounty hunters ride into a small town out West in pursuit of an outlaw. They discover that the town has no sheriff, and soon take over that position, much against the will of the mostly white townsfolk.",White Man's Town... Black Man's Law!
Breakheart Pass,1975,Tom Gries,8043,tt0072735,Breakheart-Pass(1975){tmdb-8043}.mp4,"At the height of the frontier era, a train races through the Rocky Mountains on a classified mission to a remote army post. But one by one the passengers are being murdered, and their only hope is the mysterious John Deakin, who's being transported to face trial for murder.",Revenge Mystery Danger Ambush
Bring Me The Head Of Alfredo Garcia,1974,Sam Peckinpah,11942,tt0071249,Bring-Me-The-Head-Of-Alfredo-Garcia(1974){tmdb-11942}.mp4,An American bartender and his prostitute girlfriend go on a road trip through the Mexican underworld to collect a $1 million bounty on the head of a dead gigolo.,Why is his head worth one million dollars and the lives of 21 people?
Broken Arrow,1950,Delmer Daves,37292,tt0042286,Broken-Arrow(1950){tmdb-37292}.mkv,"Indian scout Tom Jeffords is sent out to stem the war between the American settlers and Apaches in the late 1870s Arizona. He learns that the Indians kill only to protect themselves, or out of retaliation for white atrocities.",The most powerful weapon is courage...
Broken Lance,1954,Edward Dmytryk,42328,tt0046808,Broken-Lance(1954){tmdb-42328}.mkv,"Cattle baron Matt Devereaux raids a copper smelter that is polluting his water, then divides his property among his sons. Son Joe takes responsibility for the raid and gets three years in prison. Matt dies from a stroke partly caused by his rebellious sons and when Joe gets out he plans revenge.",Fury of the West's Most Lawless Feud!
Buck And The Preacher,1972,Sidney Poitier,26928,tt0068323,Buck-And-The-Preacher(1972){tmdb-26928}.mp4,A wagon master and a con-man preacher help freed slaves dogged by cheap-labor agents out West.,The fight was against the raiders... but the feud was between themselves!
Buffalo Bill And The Indians Or Sitting Bulls History Lesson,1976,Robert Altman,42233,tt0074254,Buffalo-Bill-And-The-Indians-Or-Sitting-Bulls-History-Lesson(1976){tmdb-42233}.mp4,"Buffalo Bill plans to put on his own Wild West sideshow, and Chief Sitting Bull has agreed to appear in it. However, Sitting Bull has his own hidden agenda, involving the President and General Custer.",The greatest buffaloer of them all!
Butch Cassidy and the Sundance Kid,1969,George Roy Hill,642,tt0064115,Butch-Cassidy-and-the-Sundance-Kid(1969){tmdb-642}.mp4,"As the west rapidly becomes civilized, a pair of outlaws in 1890s Wyoming find themselves pursued by a posse and decide to flee to South America in hopes of evading the law.","Not that it matters, but most of it is true."
Canyon Passage,1946,Jacques Tourneur,37309,tt0038395,Canyon-Passage(1946){tmdb-37309}.mp4,"In 1850s Oregon, a businessman is torn between his love of two very different women and his loyalty to a compulsive gambler friend who goes over the line.",Every Exciting Character! Every Dangerous Moment....
Chisum,1970,Andrew V. McLaglen,38765,tt0065547,Chisum(1970){tmdb-38765}.mp4,Cattle baron John Chisum joins forces with Billy the Kid and Pat Garrett to fight the Lincoln County Land War in the New Mexico Territory of 1878.,THE LEGEND - John Wayne is 'Chisum'
Colorado Territory,1949,Raoul Walsh,28484,tt0041253,Colorado-Territory(1949){tmdb-28484}.mp4,"After escaping from jail, outlaw Wes McQueen is convinced by his old partner in crime to do one last heist.","A mighty, memorable new adventure hurtling out of the heroic vastness of Colorado Territory."
Coogan's Bluff,1968,Don Siegel,26170,tt0062824,Coogan's-Bluff(1968){tmdb-26170}.mp4,"Coogan, an Arizona deputy sheriff goes to New York to pick up a prisoner. While escorting the prisoner to the airport, he escapes and Coogan heads into the city to recapture him.",The man with no fear... takes on a killer with no pity... in a city with no heart.
Cowboy Bebop The Movie,2001,Shinichiro Watanabe,11299,tt0275277,Cowboy-Bebop-The-Movie(2001){tmdb-11299}.mp4,"The year is 2071. Following a terrorist bombing, a deadly virus is released on the populace of Mars and the government has issued the largest bounty in history, for the capture of whoever is behind it. The bounty hunter crew of the spaceship Bebop; Spike, Faye, Jet and Ed, take the case with hopes of cashing in the bounty. However, the mystery surrounding the man responsible, Vincent, goes deeper than they ever imagined, and they aren't the only ones hunting him.",They're here to save the planet. But not for free.
Cowboys And Aliens,2011,Jon Favreau,49849,tt0409847,Cowboys-And-Aliens(2011){tmdb-49849}.mkv,"A stranger stumbles into the desert town of Absolution with no memory of his past and a futuristic shackle around his wrist. With the help of mysterious beauty Ella and the iron-fisted Colonel Dolarhyde, he finds himself leading an unlikely posse of cowboys, outlaws, and Apache warriors against a common enemy from beyond this world in an epic showdown for survival.",First Contact. Last Stand.
Days of Heaven,1978,Terrence Malick,16642,tt0077405,Days-of-Heaven(1978){tmdb-16642}.mkv,"In 1916, a Chicago steel worker accidentally kills his supervisor and flees to the Texas panhandle with his girlfriend and little sister to work harvesting wheat in the fields of a stoic farmer.","She gave her hand to one man, but her heart to another."
Dead Man,1995,Tim Robbins,687,tt0112818,Dead-Man(1995){tmdb-687}.mp4,A death row inmate turns for spiritual guidance to a local nun in the days leading up to his scheduled execution for the murders of a young couple.,
Deadlock,1970,Roland Klick,79830,tt0065620,Deadlock(1970){tmdb-79830}.mp4,After pulling off a bank robbery two bandits meet in a deserted mining town to divide their loot but an old miner tries to steal it from them.,
Death Rides A Horse,1967,Giulio Petroni,49397,tt0064208,Death-Rides-A-Horse(1967){tmdb-49397}.mp4,"Bill Meceita, a boy whose family was murdered in front of him by a gang, sets out 15 years later to exact revenge. On his journey, he finds himself continually sparring and occasionally cooperating with Ryan, a gunfighter on his own quest for vengeance, who knows more than he says about Bill's tragedy.",This is revenge... and there's nothing sweet about it!
Decision at Sundown,1957,Budd Boetticher,39557,tt0050296,Decision-at-Sundown(1957){tmdb-39557}.mkv,A man and his partner arrive at a small Western town to kill its most powerful man because the former blames him for his wife's death.,At last the search was over...
Destry Rides Again,1939,George Marshall,43828,tt0031225,Destry-Rides-Again(1939){tmdb-43828}.mp4,"Tom Destry, son of a legendary frontier peacekeeper, doesn’t believe in gunplay. Thus he becomes the object of widespread ridicule when he rides into the wide-open town of Bottleneck, the personal fiefdom of the crooked Kent.",They make the fighting sinful west blaze into action before your eyes!
Dirty Little Billy,1972,Stan Dragoti,56966,tt0068487,Dirty-Little-Billy(1972){tmdb-56966}.mkv,"Clearly influenced by the darker, more sinister style of spaghetti westerns, Dirty Little Billy offers a unique insight into the beginnings of the notorious outlaw Billy The Kid.",Billy the Kid was a punk.
Django Unchained,2012,Quentin Tarantino,68718,tt1853728,Django-Unchained(2012){tmdb-68718}.mp4,"With the help of a German bounty hunter, a freed slave sets out to rescue his wife from a brutal Mississippi plantation owner.","Life, liberty, and the pursuit of vengeance."
Django,1966,Sergio Corbucci,10772,tt0060315,Django(1966){tmdb-10772}.mkv,A coffin-dragging gunslinger and a prostitute become embroiled in a bitter feud between a merciless masked clan and a band of Mexican revolutionaries.,The movie that spawned a genre.
Duck You Sucker,1971,Sergio Leone,336,tt0067140,Duck-You-Sucker(1971){tmdb-336}.mp4,"At the beginning of the 1913 Mexican Revolution, greedy bandit Juan Miranda and idealist John H. Mallory, an Irish Republican Army explosives expert on the lam from the British, fall in with a band of revolutionaries plotting to strike a national bank. When it turns out that the government has been using the bank as a hiding place for illegally detained political prisoners -- who are freed by the blast -- Miranda becomes a revolutionary hero against his will.","Two daredevils battle for a fortune in gold, and it will take an army to stop them!"
Duel at Diablo,1966,Ralph Nelson,1403,tt0060355,Duel-at-Diablo(1966){tmdb-1403}.mp4,"In Apache territory, a supply Army column heads for the next fort, an ex-scout searches for the killer of his Native wife, and a housewife abandons her husband to rejoin her Apache lover's tribe.",Yesterday they fought each other – today they fight together in a dead end canyon called Diablo!
Duel In The Sun,1946,King Vidor,32275,tt0038499,Duel-In-The-Sun(1946){tmdb-32275}.mp4,"Beautiful half-breed Pearl Chavez becomes the ward of her dead father's first love and finds herself torn between her sons, one good and the other bad.",Emotions . . . As Violent As The Wind-Swept Prairie !
El Dorado,1966,Howard Hawks,6644,tt0061619,El-Dorado(1966){tmdb-6644}.mp4,"Cole Thornton, a gunfighter for hire, joins forces with an old friend, Sheriff J.P. Harrah. Together with a fighter and a gambler, they help a rancher and his family fight a rival rancher that is trying to steal their water.",It's the big one with the big two!
El Topo,1970,Alejandro Jodorowsky,13041,tt0067866,El-Topo(1970){tmdb-13041}.mkv,"El Topo decides to confront warrior Masters on a trans-formative desert journey he begins with his 6 year old son, who must bury his childhood totems to become a man.",The definitive cult spaghetti western
First Cow,2019,Kelly Reichardt,558582,tt9231040,First-Cow(2019){tmdb-558582}.mp4,"In the 1820s, a taciturn loner and skilled cook travels west to Oregon Territory, where he meets a Chinese immigrant also seeking his fortune. Soon the two team up on a dangerous scheme to steal milk from the wealthy landowner’s prized Jersey cow – the first, and only, in the territory.",A simple western about the origin of the American Dream.
For a Few Dollars More,1965,Sergio Leone,938,tt0059578,For-a-Few-Dollars-More(1965){tmdb-938}.mkv,"Two bounty hunters both pursue the brutal and sadistic bandit, El Indio, who has a large bounty on his head.","The man with no name is back... the man in black is waiting... a walking arsenal - he uncoils, strikes and kills!"
Fort Apache,1948,John Ford,37347,tt0040369,Fort-Apache(1948){tmdb-37347}.mp4,"Owen Thursday sees his new posting to the desolate Fort Apache as a chance to claim the military honour which he believes is rightfully his. Arrogant, obsessed with military form and ultimately self-destructive, he attempts to destroy the Apache chief Cochise after luring him across the border from Mexico, against the advice of his subordinates.",John Ford's Masterpiece of the Frontier!
Forty Guns,1957,Samuel Fuller,14837,tt0050407,Forty-Guns(1957){tmdb-14837}.mp4,"An authoritarian rancher rules an Arizona county with her private posse of hired guns. When a new Marshall arrives to set things straight, the cattle queen finds herself falling for the avowedly non-violent lawman. Both have itchy-fingered brothers, a female gunman enters the picture, and things go desperately wrong.",The Taming of the Arizona Territory!
From Dusk Till Dawn 3 The Hangmans Daughter,1999,P.J. Pesce,10213,tt0120695,From-Dusk-Till-Dawn-3-The-Hangmans-Daughter(1999){tmdb-10213}.mp4,"Narrowly escaping death, outlaw Johnny Madrid goes on the run with the hangman's sensuous daughter Esmeralda by his side.",A Must-See Thrill Ride!
Garden Of Evil,1954,Henry Hathaway,36191,tt0047013,Garden-Of-Evil(1954){tmdb-36191}.mp4,A trio of American adventurers marooned in rural Mexico are recruited by a beautiful woman to rescue her husband from Apaches.,Takes you beyond the land of the Black Sand!
Go West,1925,Buster Keaton,33015,tt0015863,Go-West(1925){tmdb-33015}.mp4,With little luck at keeping a job in the city a New Yorker tries work in the country and eventually finds his way leading a herd of cattle to the West Coast.,Come with Buster out into the vast open spaces where men are men and cows are their only lady friends
Greaser's Palace,1972,Robert Downey Sr.,90715,tt0068659,Greaser's-Palace(1972){tmdb-90715}.mp4,"A parable based on the life of Christ. This ain't your father's Bible story, full of references about the destruction of the world through massive constipation and a New Mexican setting.",He's got the boogie on his fingers & the hubba-hubba in his soul!
Hang Em High,1968,Ted Post,4929,tt0061747,Hang-Em-High(1968){tmdb-4929}.mp4,"Marshall Jed Cooper survives a hanging, vowing revenge on the lynch mob that left him dangling. To carry out his oath for vengeance, he returns to his former job as a lawman. Before long, he's caught up with the nine men on his hit list and starts dispensing his own brand of Wild West justice.",The hanging was the best show in town. But they made two mistakes. They hung the wrong man and they didn't finish the job!
Heavens Gate,1980,Michael Cimino,10935,tt0080855,Heavens-Gate(1980){tmdb-10935}.mp4,"Harvard graduate James Averill serves as the sheriff of prosperous Jackson County, Wyo., standing at the center of a conflict between impoverished immigrants and affluent cattle farmers. Politically connected ranchers enlist mercenary Nathan Champion—who is also vying for the affections of local madam Ella Watson—to combat the immigrant uprising. As tensions escalate, both Averill and Champion start to question their decisions.",What one loves about life are the things that fade.
Hidalgo,2004,Joe Johnston,2023,tt0317648,Hidalgo(2004){tmdb-2023}.mp4,"Set in 1890, this is the story of a Pony Express courier who travels to Arabia to compete with his horse, Hidalgo, in a dangerous race for a massive contest prize, in an adventure that sends the pair around the world...",Unbridled. Unbroken. Unbeaten.
High Noon,1952,Fred Zinnemann,288,tt0044706,High-Noon(1952){tmdb-288}.mkv,"Will Kane, the sheriff of a small town in New Mexico, learns a notorious outlaw he put in jail has been freed, and will be arriving on the noon train. Knowing the outlaw and his gang are coming to kill him, Kane is determined to stand his ground, so he attempts to gather a posse from among the local townspeople.",The story of a man who was too proud to run!
High Plains Drifter,1973,Clint Eastwood,11901,tt0068699,High-Plains-Drifter(1973){tmdb-11901}.mp4,"A gunfighting stranger comes to the small settlement of Lago. After gunning down three gunmen who tried to kill him, the townsfolk decide to hire the Stranger to hold off three outlaws who are on their way.",They'd never forget the day he drifted into town.
Hombre,1967,Martin Ritt,27945,tt0061770,Hombre(1967){tmdb-27945}.mp4,"John Russell, disdained by his ""respectable"" fellow stagecoach passengers because he was raised by Indians, becomes their only hope for survival when they are set upon by outlaws.",Hombre means man... Paul Newman is Hombre!
How The West Was Won,1962,John Ford,11897,tt0056085,How-The-West-Was-Won(1962){tmdb-11897}.mp4,"The epic tale of the development of the American West from the 1830s through the Civil War to the end of the century, as seen through the eyes of one pioneer family.",It's here! The mightiest adventure ever filmed!
Invitation to a Gunfighter,1964,Richard Wilson,55150,tt0058238,Invitation-to-a-Gunfighter(1964){tmdb-55150}.mp4,"In New Mexico, a Confederate veteran returns home to find his fiancée married to a Union soldier, his Yankee neighbors rallied against him and his property sold by the local banker who then hires a gunman to kill him.",He Kills By Invitation
Joe Kidd,1972,John Sturges,14881,tt0068768,Joe-Kidd(1972){tmdb-14881}.mp4,"A band of Mexicans find their U. S. land claims denied and all the records destroyed in a courthouse fire. Their leader, Louis Chama, encourages them to use force to regain their land. A wealthy landowner wanting the same decides to hire a gang of killers with Joe Kidd to track Chama.",If you're looking for trouble...he's Joe Kidd.
Johnny Guitar,1954,Nicholas Ray,26596,tt0047136,Johnny-Guitar(1954){tmdb-26596}.mkv,"On the outskirts of town, the hard-nosed Vienna owns a saloon frequented by the undesirables of the region, including Dancin' Kid and his gang. Another patron of Vienna's establishment is Johnny Guitar, a former gunslinger and her lover. When a heist is pulled in town that results in a man's death, Emma Small, Vienna's rival, rallies the townsfolk to take revenge on Vienna's saloon – even without proof of her wrongdoing.",Gun-Queen of the Arizona Frontier! And her kind of men!
Jubal,1956,Delmer Daves,43260,tt0048233,Jubal(1956){tmdb-43260}.mp4,"Jubal Troop is a cowboy who is found in a weakened condition, without a horse. He is given shelter at Shep Horgan's large ranch, where he quickly makes an enemy in foreman Pinky, a cattleman who accuses Jubal of carrying the smell of sheep.",THE SOMETIMES VIOLENT STORY OF A DRIFTIN' COWHAND!
Killers Of The Flower Moon,2023,Martin Scorsese,466420,tt5537002,Killers-Of-The-Flower-Moon(2023){tmdb-466420}.mkv,"When oil is discovered in 1920s Oklahoma under Osage Nation land, the Osage people are murdered one by one—until the FBI steps in to unravel the mystery.",Greed is an animal that hungers for blood.
Legend Of The Lost,1957,Henry Hathaway,25848,tt0050629,Legend-Of-The-Lost(1957){tmdb-25848}.mp4,American ne'er-do-well Joe January is hired to take Paul Bonnard on an expedition into the desert in search of treasure.,Wayne Tangles with Loren...In the Adventure that's Hotter than 1000 Suns!
Lemonade Joe,1964,Oldřich Lipský,20629,tt0058275,Lemonade-Joe(1964){tmdb-20629}.mp4,"A satire of the Great American Way, with Lemonade Joe a ""clean living"" gunfighter who drinks only Kola-Loca Lemonade and convinces everyone else in town (with his gun skills) that all ""real men"" drink ONLY lemonade!",
Let Them Rest,1967,Carlo Lizzani,122787,tt0063500,Let-Them-Rest(1967){tmdb-122787}.mp4,"A Mexican community is slaughtered by Confederate troops; the lone survivor, a boy, is taken in by a preacher. Years later, the boy is now a soft-spoken, devout young man with perfect shooting skills (despite being a pacifist). On his journey to help his half-sister out of a complicated situation, he crosses paths with the men who killed his family, unbeknownst to him.",
Little Big Man,1970,Arthur Penn,11040,tt0065988,Little-Big-Man(1970){tmdb-11040}.mp4,"Jack Crabb, looking back from extreme old age, tells of his life being raised by Indians and fighting with General Custer.",Either the most neglected hero in history or a liar of insane proportion!
Lonely Are The Brave,1962,David Miller,43002,tt0056195,Lonely-Are-The-Brave(1962){tmdb-43002}.mp4,A fiercely independent cowboy arranges to have himself locked up in jail in order to then escape with an old friend who has been sentenced to the penitentiary.,Life can never cage a man like this!
Lucky,2017,John Carroll Lynch,407449,tt5859238,Lucky(2017){tmdb-407449}.mp4,"Follows the journey of a 90-year-old atheist and the quirky characters that inhabit his off-the-map desert town. He finds himself at the precipice of life, thrust into a journey of self-exploration.",
Lust For Gold,1949,George Marshall,94139,tt0041610,Lust-For-Gold(1949){tmdb-94139}.mp4,"A man determined to track down the fabled Arizona gold mine known as The Lost Dutchman has an affair with a married treasure hunter, whose pursuit of the mine has lead her to double-cross her husband.",Ruthless Fortune Seekers Who Will Stop at Nothing...
Major Dundee,1965,Sam Peckinpah,29715,tt0059418,Major-Dundee(1965){tmdb-29715}.mp4,"During the last winter of the Civil War, cavalry officer Amos Dundee leads a contentious troop of Army regulars, Confederate prisoners and scouts on an expedition into Mexico to destroy a band of Apaches who have been raiding U.S. bases in Texas.",
Man In The Shadow,1957,Jack Arnold,36459,tt0050680,Man-In-The-Shadow(1957){tmdb-36459}.mp4,"In a modern cow town, the powerful ranch owner’s henchmen kill a ranch hand, prompting the sheriff to investigate despite facing strong opposition. He finds an unlikely ally in the rancher's overprotected daughter, but their quest for justice puts them both in danger.",THIS WAS THE NIGHT WHEN THE LAW TURNED LAWLESS...to win back the justice a town had betrayed!
Man With The Gun,1955,Richard Wilson,26758,tt0048339,Man-With-The-Gun(1955){tmdb-26758}.mp4,"A stranger comes to town looking for his estranged wife. He finds her running the local girls. He also finds a town and sheriff afraid of their own shadow, scared of a landowner they never see who rules through his rowdy sidekicks. The stranger is a town tamer by trade, and he accepts a $500 commission to sort things out.",A man who lived and breathed violence!
Man Without a Star,1955,King Vidor,43319,tt0048340,Man-Without-a-Star(1955){tmdb-43319}.mp4,A wandering cowboy gets caught up in a range war.,A love-bargain is like barbed-wire...fight it and you'll get hurt!
McCabe and Mrs Miller,1971,Robert Altman,29005,tt0067411,McCabe-and-Mrs-Miller(1971){tmdb-29005}.mkv,A gambler and a prostitute become thriving business partners in a remote Old West mining town until a large corporation arrives on the scene.,The story of a gambling man and a hustling lady and the empire they fashioned from the wilderness.
Meeks Cutoff,2010,Kelly Reichardt,57120,tt1518812,Meeks-Cutoff(2010){tmdb-57120}.mp4,A group of settlers traveling through the Oregon High Desert in 1845 find themselves stranded in harsh conditions.,The Road to Civilisation is Not Always Civilised.
Monte Walsh,1970,William A. Fraker,71244,tt0066093,Monte-Walsh(1970){tmdb-71244}.mp4,"Monte Walsh is an aging cowboy facing the ending days of the Wild West era. As barbed wire and railways steadily eliminate the need for the cowboy, Monte and his friends are left with fewer and fewer options. New work opportunities are available to them, but the freedom of the open prarie is what they long for. Eventually, they all must say goodbye to the lives they knew, and try to make a new start.",Monte Walsh is what the West was all about.
My Darling Clementine,1946,John Ford,3088,tt0038762,My-Darling-Clementine(1946){tmdb-3088}.mp4,Three brothers stop off for a night in the town of Tombstone. The next morning they find one of their brothers dead and their cattle stolen. They decide to take revenge on the culprits.,"She was everything the West was - young, fiery, exciting!"
My Name Is Nobody,1973,Tonino Valerii,9474,tt0070215,My-Name-Is-Nobody(1973){tmdb-9474}.mp4,"Jack Beauregard, an aging gunman of the Old West, only wants to retire in peace and move to Europe, but a young gunfighter known as ""Nobody"" who idolizes Beauregard wants him to go out in a blaze of glory. So, he arranges for Jack to face the 150-man gang known as The Wild Bunch and earn his place in history.","Nobody, but ""Nobody,"" knows the trouble he's in!"
Neath The Arizona Skies,1934,Harry L. Fraser,53830,tt0024805,Neath-The-Arizona-Skies(1934){tmdb-53830}.mp4,"Chris Morrell, the guardian of half-Indian girl Nina, is helping her find her missing white father. so she can cash in on her late mother's oil lease. Outlaw Sam Black is after the girl and her father as well. Besides dealing with the Black gang, Morrell has to find another robber, Jim Moore, who switches clothes with him after he finds Chris unconscious from a fight with Sam Black. Along the way, he meets a lady who's the sister of Jim Moore, another bad hombre who's in cahoots with Jim Moore, and an old friend who takes in Nina and helps Chris locate Nina's father and fight off the various desperadoes",Hair-trigger Action! Hair-Trigger Action!
Once Upon A Time In China And America,1997,Sammo Hung,10620,tt0120530,Once-Upon-A-Time-In-China-And-America(1997){tmdb-10620}.mp4,"So goes to the U.S. to open a martial arts school. Around this time, many Chinese people were sold off to U.S. railroad companies, and were brutally treated by the Americans under the harsh working conditions. Thus, the American workers' hatred towards the Chinese immigrants is high. As a result, So gets into trouble with the Americans and the mob, and calls Master Wong for help.",
Once Upon a Time in the West,1968,Sergio Leone,335,tt0064116,Once-Upon-a-Time-in-the-West(1968){tmdb-335}.mkv,"As the railroad builders advance unstoppably through the Arizona desert on their way to the sea, Jill arrives in the small town of Flagstone with the intention of starting a new life.",There were three men in her life. One to take her… one to love her —and one to kill her.
One Eyed Jacks,1961,Marlon Brando,18647,tt0055257,One-Eyed-Jacks(1961){tmdb-18647}.mkv,"Running from the law after a bank robbery in Mexico, Dad Longworth finds an opportunity to take the stolen gold and leave his partner Rio to be captured. Years later, Rio escapes from the prison where he has been since, and hunts down Dad for revenge. Dad is now a respectable sheriff in California, and has been living in fear of Rio's return.",The motion picture that starts its own tradition of greatness.
Pale Rider,1985,Clint Eastwood,8879,tt0089767,Pale-Rider(1985){tmdb-8879}.mp4,A mysterious preacher protects a humble prospector village from a greedy mining company trying to encroach on their land.,...and hell followed with him.
Pat Garrett and Billy the Kid,1973,Sam Peckinpah,11577,tt0070518,Pat-Garrett-and-Billy-the-Kid(1973){tmdb-11577}.mkv,Pat Garrett is hired as a lawman on behalf of a group of wealthy New Mexico cattle barons to bring down his old friend Billy the Kid.,Best of enemies. Deadliest of friends.
Pony Express,1953,Jerry Hopper,43351,tt0046198,Pony-Express(1953){tmdb-43351}.mp4,"Buffalo Bill and Wild Bill Hickok join forces to establish a mail route that can get mail from St. Joseph, Missouri, to Sacramento, California, in ten days. Along the way they must battle bad weather, hostile Indians and outlaws intent on robbing the mail and shutting down the entire operation.",GALLOPING THRILLS! A mighty adventure when America's destiny rode in the saddle bags of the...PONY EXPRESS
Pursued,1947,Raoul Walsh,26761,tt0039737,Pursued(1947){tmdb-26761}.mp4,A boy haunted by nightmares about the night his entire family was murdered is brought up by a neighboring family in the 1880s. He falls for his lovely adoptive sister but his nasty adoptive brother and mysterious uncle want him dead.,Robert Mitchum fights for the love of three people who want to see him dead...his family.
Rancho Deluxe,1975,Frank Perry,42261,tt0073605,Rancho-Deluxe(1975){tmdb-42261}.mp4,"Two drifters, of widely varying backgrounds, rustle cattle and try to avoid being caught in contemporary Montana.","Oh give me a home, with a low interest loan, A cowgirl and two pickup trucks. A color TV, all the beer should be free, And that, man, is Rancho Deluxe."
Rango,2011,Gore Verbinski,44896,tt1192628,Rango(2011){tmdb-44896}.mkv,"When Rango, a lost family pet, accidentally winds up in the gritty, gun-slinging town of Dirt, the less-than-courageous lizard suddenly finds he stands out. Welcomed as the last hope the town has been waiting for, new Sheriff Rango is forced to play his new role to the hilt.",Heroes come in all different colors.
Red River,1948,Howard Hawks,3089,tt0040724,Red-River(1948){tmdb-3089}.mkv,"Following the Civil War, headstrong rancher Thomas Dunson decides to lead a perilous cattle drive from Texas to Missouri. During the exhausting journey, his persistence becomes tyrannical in the eyes of Matthew Garth, his adopted son and protégé.",
Ride in the Whirlwind,1966,Monte Hellman,60555,tt0059653,Ride-in-the-Whirlwind(1966){tmdb-60555}.mp4,"Three cowboys, mistaken for members of an outlaw gang, are relentlessly pursued by a posse.",Ride with the Easy Rider into an action whirlwind.
Ride The High Country,1962,Sam Peckinpah,36206,tt0056412,Ride-The-High-Country(1962){tmdb-36206}.mp4,An ex-lawman is hired to transport gold from a mining community through dangerous territory. But what he doesn't realize is that his partner and old friend is plotting to double-cross him.,Showdown in the High Sierra!
Ride With The Devil,1999,Ang Lee,22267,tt0134154,Ride-With-The-Devil(1999){tmdb-22267}.mp4,"Ride with the Devil follows four people who are fighting for truth and justice amidst the turmoil of the American Civil War. Director Ang Lee takes us to a no man's land on the Missouri/Kansas border where a staunch loyalist, an immigrant's son, a freed slave, and a young widow form an unlikely friendship as they learn how to survive in an uncertain time. In a place without rules and redefine the meaning of bravery and honor.","In a No-man's Land between North and South, You didn't fight for the Blue or the Grey... You fought for your friends and family."
Rio Bravo,1959,Howard Hawks,301,tt0053221,Rio-Bravo(1959){tmdb-301}.mp4,"A small-town sheriff in the American West enlists the help of a disabled man, a drunk, and a young gunfighter in his efforts to hold in jail the brother of the local bad guy.",They fought back to back... No quarter given... No quarter asked... No way in... No way out... of Rio Bravo!
Rio Conchos,1964,Gordon Douglas,32560,tt0058525,Rio-Conchos(1964){tmdb-32560}.mp4,"Two Army officers, an alcoholic ex-Confederate soldier and a womanizing Mexican travel to Mexico on a secret mission to prevent a megalomaniacal ex-Confederate colonel from selling a cache of stolen rifles to a band of murderous Apaches.",Four men stalking the Apache nation...on a mission that could drench the whole Southwest in blood and flames!
Rio Lobo,1970,Howard Hawks,26593,tt0066301,Rio-Lobo(1970){tmdb-26593}.mp4,"After the Civil War, a former Union colonel searches for the two traitors whose perfidy led to the loss of a close friend.","Give 'Em Hell, John."
